           0  65257590.069668   0.000  0.000  0.000  
         100  -1.288001   0.135  0.642  0.000  
         200  -1.371245   0.118  0.642  0.000  
         300  -1.401594   0.112  0.643  0.000  
         400  -1.414002   0.109  0.644  0.000  
         500  -1.417910   0.108  0.645  0.000  
         600  -1.422499   0.106  0.645  0.000  
         700  -1.421691   0.106  0.646  0.000  
         800  -1.425048   0.105  0.646  0.000  
         900  -1.429528   0.105  0.646  0.000  
        1000  -1.431076   0.104  0.646  0.000  
